index,phase,watch_x,watch_y,watch_w,watch_h,latency_ms,best_dist,changed_pixels,status
54,appear,1285,691,40,60,26.161,617,121,ok
54,disappear,1285,691,40,60,27.976,617,121,ok
55,appear,1285,691,40,60,26.817,617,121,ok
55,disappear,1285,691,40,60,26.200,617,121,ok
56,appear,1285,691,40,60,28.650,617,121,ok
56,disappear,1285,691,40,60,26.104,617,121,ok
57,appear,1285,691,40,60,26.669,617,121,ok
57,disappear,1285,691,40,60,27.278,617,121,ok
58,appear,1285,691,40,60,27.017,617,121,ok
58,disappear,1285,691,40,60,28.805,617,121,ok
59,appear,1285,691,40,60,27.793,617,121,ok
59,disappear,1285,691,40,60,27.515,617,121,ok
60,appear,1285,691,40,60,27.566,617,121,ok
60,disappear,1285,691,40,60,28.486,617,121,ok
61,appear,1285,691,40,60,25.804,617,121,ok
61,disappear,1285,691,40,60,27.147,617,121,ok
62,appear,1285,691,40,60,22.179,617,121,ok
62,disappear,1285,691,40,60,28.009,617,121,ok
63,appear,1285,691,40,60,30.182,617,121,ok
63,disappear,1285,691,40,60,26.981,617,121,ok
64,appear,1285,691,40,60,26.783,617,121,ok
64,disappear,1285,691,40,60,28.194,617,121,ok
65,appear,1285,691,40,60,31.637,617,121,ok
65,disappear,1285,691,40,60,28.849,617,121,ok
66,appear,1285,691,40,60,26.590,617,121,ok
66,disappear,1285,691,40,60,25.870,617,121,ok
67,appear,1285,691,40,60,28.718,617,121,ok
67,disappear,1285,691,40,60,25.871,617,121,ok
68,appear,1285,691,40,60,25.966,617,121,ok
68,disappear,1285,691,40,60,26.716,617,121,ok
69,appear,1285,691,40,60,28.219,617,121,ok
69,disappear,1285,691,40,60,30.119,617,121,ok
70,appear,1285,691,40,60,28.202,617,121,ok
70,disappear,1285,691,40,60,25.082,617,121,ok
71,appear,1285,691,40,60,25.702,617,121,ok
71,disappear,1285,691,40,60,27.503,617,121,ok
72,appear,1285,691,40,60,31.018,617,121,ok
72,disappear,1285,691,40,60,31.009,617,121,ok
73,appear,1285,691,40,60,29.901,617,121,ok
73,disappear,1285,691,40,60,30.313,617,121,ok
74,appear,1285,691,40,60,27.508,617,121,ok
74,disappear,1285,691,40,60,29.028,617,121,ok
75,appear,1285,691,40,60,29.930,617,121,ok
75,disappear,1285,691,40,60,29.828,617,121,ok
76,appear,1285,691,40,60,31.092,617,121,ok
76,disappear,1285,691,40,60,28.530,617,121,ok
77,appear,1285,691,40,60,29.064,617,121,ok
77,disappear,1285,691,40,60,25.217,617,121,ok
78,appear,1285,691,40,60,25.750,617,121,ok
78,disappear,1285,691,40,60,27.494,617,121,ok
79,appear,1285,691,40,60,29.100,617,121,ok
79,disappear,1285,691,40,60,28.531,617,121,ok
80,appear,1285,691,40,60,27.582,617,121,ok
80,disappear,1285,691,40,60,26.487,617,121,ok
81,appear,1285,691,40,60,28.272,617,121,ok
81,disappear,1285,691,40,60,29.481,617,121,ok
82,appear,1285,691,40,60,29.278,617,121,ok
82,disappear,1285,691,40,60,26.860,617,121,ok
83,appear,1285,691,40,60,28.545,617,121,ok
83,disappear,1285,691,40,60,26.371,617,121,ok
84,appear,1285,691,40,60,25.717,617,121,ok
84,disappear,1285,691,40,60,29.615,617,121,ok
85,appear,1285,691,40,60,27.385,617,121,ok
85,disappear,1285,691,40,60,28.061,617,121,ok
86,appear,1285,691,40,60,27.771,617,121,ok
86,disappear,1285,691,40,60,29.469,617,121,ok
87,appear,1285,691,40,60,29.166,617,121,ok
87,disappear,1285,691,40,60,28.853,617,121,ok
88,appear,1285,691,40,60,23.417,617,121,ok
88,disappear,1285,691,40,60,26.878,617,121,ok
89,appear,1285,691,40,60,25.936,617,121,ok
89,disappear,1285,691,40,60,26.478,617,121,ok
90,appear,1285,691,40,60,20.453,617,121,ok
90,disappear,1285,691,40,60,27.307,617,121,ok
91,appear,1285,691,40,60,25.501,617,121,ok
